cnt	line1	line2
2	getelementptr <- alloca	icmp <- and
2	store <- call	store <- getelementptr
1	call <- alloca	icmp <- and
1	store <- call	store <- alloca
1	store <- alloca	getelementptr <- alloca
1	store <- getelementptr	getelementptr <- alloca
1	store <- getelementptr	call <- alloca
1	call <- alloca	call <- alloca
1	call <- alloca	add <- phi
1	add <- phi	call <- add
